LobbyingEntity,DateRange,Lobbyist,Client,House/Senate,BillNumber,BillActivity,AgentPosition,Amount,DirectBusinessAssosciation
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2,"An Act making appropriations for the fiscal year 2023 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,125,An Act relative to the promotion of secure telehealth systems,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,136,An Act relative to data privacy,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,142,An Act establishing the Massachusetts information privacy act,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,729,An Act to ensure prescription drug cost transparency and affordability,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,756,An Act to strengthen emergency preparedness for home care workers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,890,An Act protecting research animals,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,901,An Act protecting research animals,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,966,An Act concerning the use of animals in product testing,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1053,An Act relative to consumer deductibles,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1091,An Act providing for certain health insurance coverage,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1101,An Act relative to telehealth and digital equity for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1123,An Act relative to pharmaceutical gag clauses,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1190,"An Act relating to patient cost, benefit, and coverage information, choice, and price transparency",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1201,An Act ensuring access to medications,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1210,An Act relative to drug prices paid by carriers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1212,An Act relative to direct primary care,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1224,An Act relative to promoting healthcare access and affordability for patients,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1237,An Act relative to non-medical switching,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1239,An Act to strengthen the PIP process,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1243,An Act creating a MassHealth buy in program,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1254,An Act relative to promoting comprehensive transparency in the pharmaceutical industry,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1265,An Act to create a special commission to improve transparency and affordability at the Group Insurance Commission,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1267,An Act establishing Medicare for all in Massachusetts,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1272,An Act to promote transparency in prescription drug prices,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1275,An Act to improve health care cost accountability,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1278,An Act relative to prescription drug price transparency,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1279,An Act establishing a commission to review contracts between pharmaceutical benefit managers and MassHealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1307,An Act establishing a study to examine the feasibility of state manufactured generic prescription drugs,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1310,An Act to ensure equitable access to health coverage for children with disabilities,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1311,An Act relative to step therapy and patient safety,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1935,"An Act to require policies and training to prevent unlawful harassment, including sexual harassment",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1942,An Act requiring OSHA training,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1950,An Act relative to wage transparency,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1966,An Act relative to workplace safety and disclosure of violations,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1967,"An Act relative to non-disclosure agreements relating to a claim of discrimination, non-payment of wages or benefits, retaliation, harassment or violation of public policy in employment",Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,1989,An Act relative to pay equity,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2014,An Act requiring human service employers to develop and implement programs that prevent workplace violence,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2018,An Act relative to employment protections for victims of abusive behavior,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2019,An Act regulating the use of credit reports by employers,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2020,An Act relative to transparency in the workplace,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2023,An Act ensuring domestic violence victims' protections for all employees in the Commonwealth,Neutral,$0.00,N/A
O'Neill and Partners LLC.,01/01/2022 - 06/30/2022,Benjamin Josephson,Ultragenyx Pharmaceutical Inc.,House Bill,2026,An Act relative to nondiscrimination training in the workplace,Neutral,$0.00,N/A
